DensityFile,DensityFolder,Time,Lon,Lat,SnowThickness,Freeboard,IceThickness,MinDepth,MaxDepth,LabTemperature,DensitySalinity,Density,DensityDepth,InterpolatedSalinity,InterpolatedTemperature,SalinityFile,TemperatureFile,SalinityIceThickness,TemperatureIceThickness
Q2_2021_P4_ROV_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,05-May-2021 00:00:00,33.5265,79.6782,0.07,0.01,0.17,0.07,0.14,NaN,NaN,911.5954182,0.105,6.34264705882353,-2.73411764705882,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,0.16,0.16
Q2_2021_P4_ROV_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,05-May-2021 00:00:00,33.5265,79.6782,0.07,0.01,0.17,0.14,0.2,NaN,NaN,901.5428059,0.17,6.2,-2.6,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,0.16,0.16
Q2_2021_P4_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,05-May-2021 00:00:00,33.5265,79.6782,0.07,0.01,0.18,0,0.07,NaN,NaN,904.6307133,0.035,8.28181818181818,-3.40545454545455,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,0.16,0.16
Q2_2021_P4_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,05-May-2021 00:00:00,33.5265,79.6782,0.07,0.01,0.18,0.07,0.14,NaN,NaN,908.9439927,0.105,6.21818181818182,-2.71090909090909,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,0.16,0.16
Q2_2021_P4_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,05-May-2021 00:00:00,33.5265,79.6782,0.07,0.01,0.18,0.14,0.19,NaN,NaN,912.2105911,0.165,6.2,-2.6,Q2_2021_P4_main_salinity.csv,Q2_2021_P4_main_temperature.csv,0.16,0.16
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0,0.07,NaN,NaN,878.7988228,0.035,15.564,-3.69266666666667,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.07,0.15,NaN,NaN,901.4300144,0.11,9.468,-3.62338095238095,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.15,0.21,NaN,NaN,905.5832771,0.18,6.606,-3.43485714285714,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.21,0.28,NaN,NaN,933.1033125,0.245,5.716,-3.19733333333333,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
Q2_2021_P5_main_density.csv,C:\Users\evsalg001\Downloads\Nansen Legacy raw data\NL_icephysics_cores_dataset_ver2.0\Q2-2021_v2.0\Q2-2021_v2.0\density\processed,08-May-2021 06:58:00,33.6152,80.5498,0.227,0.02,0.525,0.28,0.35,NaN,NaN,905.2713993,0.315,5.114,-3.068,Q2_2021_P5_main_salinity.csv,Q2_2021_P5_main_temperature.csv,0.49,0.49
